,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Charlie Adam,sct SCO,MF,Blackpool,24,1985,35,34,3049,33.9,12,8,20,5,7,8,11,0,0.35,0.24,0.59,0.15,0.38,Matches,aff418dc
2,Emmanuel Adebayor,tg TOG,FW,Manchester City,26,1984,8,2,244,2.7,1,0,1,0,1,1,0,0,0.37,0,0.37,0,0,Matches,936d9e3e
3,Gabriel Agbonlahor,eng ENG,FWMF,Aston Villa,23,1986,26,17,1602,17.8,3,1,4,3,0,0,3,0,0.17,0.06,0.22,0.17,0.22,Matches,db80f5f1
4,Daniel Agger,dk DEN,DF,Liverpool,25,1984,16,12,1092,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f1ea4af0
5,Yakubu Aiyegbeni,ng NGA,FW,Everton,27,1982,14,7,668,7.4,1,1,2,1,0,0,0,0,0.13,0.13,0.27,0.13,0.27,Matches,a1fe3f62
6,Marc Albrighton,eng ENG,MF,Aston Villa,20,1989,29,20,1799,20,5,4,9,5,0,0,3,0,0.25,0.2,0.45,0.25,0.45,Matches,b827d5b3
7,Antolín Alcaraz,py PAR,DF,Wigan Athletic,28,1982,34,34,3028,33.6,1,1,2,1,0,0,8,2,0.03,0.03,0.06,0.03,0.06,Matches,cee38e27
8,Alex,br BRA,DF,Chelsea,28,1982,15,12,1109,12.3,2,0,2,2,0,0,3,0,0.16,0,0.16,0.16,0.16,Matches,58721835
9,Manuel Almunia,es ESP,GK,Arsenal,33,1977,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,9f6b2f8c
10,Marcos Alonso,es ESP,DFMF,Bolton,19,1990,4,4,360,4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,f4290206
11,Sammy Ameobi,eng ENG,FWMF,Newcastle,18,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,acd61628
12,Shola Ameobi,ng NGA,FW,Newcastle,28,1981,28,21,1752,19.5,6,3,9,4,2,2,2,0,0.31,0.15,0.46,0.21,0.36,Matches,e79a368b
13,Anderson,br BRA,MF,Manchester Utd,22,1988,18,14,1182,13.1,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches,ffcbeb74
14,Keith Andrews,ie IRL,MF,Blackburn,29,1980,5,2,229,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5bca867f
15,Nicolas Anelka,fr FRA,FW,Chelsea,31,1979,32,27,2356,26.2,6,4,10,6,0,0,0,0,0.23,0.15,0.38,0.23,0.38,Matches,931ed5e9
16,Marcos Angeleri,ar ARG,DF,Sunderland,27,1983,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f1c9c320
17,Victor Anichebe,ng NGA,FW,Everton,22,1988,16,8,769,8.5,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches,4aed5c19
18,Andrey Arshavin,ru RUS,FWMF,Arsenal,29,1981,37,25,2187,24.3,6,11,17,5,1,1,1,0,0.25,0.45,0.7,0.21,0.66,Matches,8fd1ea1f
19,Mikel Arteta,es ESP,MF,Everton,28,1982,29,29,2405,26.7,3,5,8,3,0,1,1,1,0.11,0.19,0.3,0.11,0.3,Matches,d934d1e6
20,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,26,1984,30,30,2569,28.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,a557e6b0
21,Fábio Aurélio,br BRA,DFMF,Liverpool,30,1979,14,7,570,6.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,68f0ce09
22,Demba Ba,sn SEN,FW,West Ham,25,1985,12,10,933,10.4,7,0,7,7,0,0,1,0,0.68,0,0.68,0.68,0.68,Matches,8b683d09
23,Ryan Babel,nl NED,FWMF,Liverpool,23,1986,9,1,203,2.3,1,0,1,1,0,0,0,0,0.44,0,0.44,0.44,0.44,Matches,6438d426
24,Leighton Baines,eng ENG,DF,Everton,25,1984,38,38,3420,38,5,11,16,2,3,3,4,0,0.13,0.29,0.42,0.05,0.34,Matches,b18095b6
25,Chris Baird,nir NIR,DFMF,Fulham,28,1982,29,25,2383,26.5,2,1,3,2,0,0,5,0,0.08,0.04,0.11,0.08,0.11,Matches,55fd8c81
26,Nathan Baker,eng ENG,DF,Aston Villa,19,1991,4,4,247,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b18af9e3
27,Gareth Bale,wls WAL,FWMF,Tottenham,21,1989,30,29,2447,27.2,7,1,8,7,0,0,1,0,0.26,0.04,0.29,0.26,0.29,Matches,a58bb1e1
28,Mario Balotelli,it ITA,FW,Manchester City,19,1990,17,12,1090,12.1,6,0,6,4,2,2,6,1,0.5,0,0.5,0.33,0.33,Matches,8ff07990
29,Barry Bannan,sct SCO,MF,Aston Villa,20,1989,12,7,639,7.1,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches,9469fb13
30,Alex Baptiste,eng ENG,DF,Blackpool,24,1986,21,19,1731,19.2,2,0,2,2,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches,7b72f0b6
31,Phil Bardsley,sct SCO,DF,Sunderland,25,1985,34,32,2820,31.3,3,1,4,3,0,0,5,0,0.1,0.03,0.13,0.1,0.13,Matches,1ae30132
32,Giles Barnes,jm JAM,FWMF,West Brom,21,1988,14,1,318,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e663724a
33,Pablo Barrera,mx MEX,FWMF,West Ham,23,1987,14,6,745,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff70b131
34,Gareth Barry,eng ENG,MF,Manchester City,29,1981,33,31,2702,30,2,2,4,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,Matches,7dbbe367
35,Joey Barton,eng ENG,MF,Newcastle,27,1982,32,32,2877,32,4,9,13,2,2,2,7,0,0.13,0.28,0.41,0.06,0.34,Matches,93bfa675
36,Chris Basham,eng ENG,DFMF,Blackpool,22,1988,2,1,121,1.3,0,1,1,0,0,0,1,0,0,0.74,0.74,0,0.74,Matches,1aa84968
