,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Sunderland,24,1990,33,33,2970,33.0,4,3,7,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches,5f09991f
2,Rolando Aarons,eng ENG,DFMF,Newcastle,19,1995,10,3,381,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches,c5942695
3,Almen Abdi,ch SUI,MF,Watford,28,1986,32,25,1974,21.9,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,8d425d84
4,Tammy Abraham,eng ENG,FW,Chelsea,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f586779e
5,Charlie Adam,sct SCO,MF,Stoke City,29,1985,22,12,1044,11.6,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches,aff418dc
6,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,31,1984,12,7,619,6.9,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,936d9e3e
7,Adrián,es ESP,GK,West Ham,28,1987,32,32,2880,32.0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
8,Ibrahim Afellay,nl NED,MF,Stoke City,29,1986,31,24,2102,23.4,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches,9a8c6673
9,Benik Afobe,cd COD,FW,Bournemouth,22,1993,15,12,930,10.3,4,0,4,4,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,b63f4077
