,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Patrick van Aanholt,nl NED,DF,Leicester City,19,1990,12,12,1080,12.0,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,5f09991f
2,Nadjim Abdou,km COM,MF,Millwall,26,1984,34,30,2713,30.1,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,5b7a0657
3,Yuki Abe,jp JPN,DFMF,Leicester City,28,1981,36,25,2296,25.5,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,9a0973f3
4,Miles Addison,eng ENG,DFMF,Derby County,21,1989,21,10,1005,11.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,ccc9bd95
5,Dele Adebola,ng NGA,FW,Nottingham,35,1975,29,4,640,7.1,2,2,4,2,0,0,0,0,0.28,0.28,0.56,0.28,0.56,498b401e
6,Albert Adomah,gh GHA,FWMF,Bristol City,22,1987,46,45,3681,40.9,5,11,16,5,0,0,1,0,0.12,0.27,0.39,0.12,0.39,c7174e81
7,Kemy Agustien,cw CUW,DFMF,Swansea City,23,1986,8,3,281,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,027a5151
8,Kemy Agustien,cw CUW,DFMF,Crystal Palace,23,1986,8,6,560,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,027a5151
9,Patrick Agyemang,gh GHA,FW,QPR,29,1980,19,0,343,3.8,2,2,4,2,0,0,0,0,0.52,0.52,1.05,0.52,1.05,80f1245c
10,Jack Ainsley,eng ENG,DF,Ipswich Town,19,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7f4a3f3a
11,Yakubu Aiyegbeni,ng NGA,FW,Leicester City,27,1982,20,19,1631,18.1,11,5,16,11,0,0,4,0,0.61,0.28,0.88,0.61,0.88,a1fe3f62
12,John Akinde,eng ENG,FW,Bristol City,21,1989,2,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,93a09a47
13,Hope Akpan,ng NGA,MF,Hull City,18,1991,2,1,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1ccbca79
14,Graham Alexander,sct SCO,DFMF,Burnley,38,1971,32,15,1384,15.4,3,4,7,0,3,4,2,0,0.20,0.26,0.46,0.00,0.26,44317668
15,Daniel Alfei,wls WAL,DF,Swansea City,18,1992,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,62fab1e5
16,Joe Allen,wls WAL,MF,Swansea City,20,1990,40,30,2907,32.3,2,3,5,2,0,0,4,0,0.06,0.09,0.15,0.06,0.15,9feb8f24
17,Darren Ambrose,eng ENG,FWMF,Crystal Palace,26,1984,28,27,2239,24.9,7,2,9,5,2,3,0,0,0.28,0.08,0.36,0.20,0.28,6e5117de
18,David Amoo,eng ENG,DFFW,Hull City,19,1991,7,1,217,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,3c1c24d0
19,Paul Anderson,eng ENG,MF,Nottingham,22,1988,36,27,2417,26.9,3,4,7,3,0,0,2,0,0.11,0.15,0.26,0.11,0.26,b3ab8f5c
20,Russell Anderson,sct SCO,DF,Derby County,31,1978,11,4,376,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,a4a074f3
21,Bruno Andrade,pt POR,FWMF,QPR,16,1993,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6e87c80f
22,Calvin Andrew,eng ENG,FW,Millwall,23,1986,3,3,197,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4b2711f5
23,Calvin Andrew,eng ENG,FW,Crystal Palace,23,1986,13,1,278,3.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,4b2711f5
24,Michail Antonio,jm JAM,FWMF,Reading,20,1990,21,2,459,5.1,1,1,2,1,0,0,2,0,0.20,0.20,0.39,0.20,0.39,ac05f970
25,Julio Arca,ar ARG,DFMF,Middlesbrough,29,1981,32,27,2469,27.4,3,8,11,2,1,2,9,0,0.11,0.29,0.40,0.07,0.36,7ac25aa9
26,Diego Arismendi,uy URU,MF,Barnsley,22,1988,31,24,2154,23.9,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,65b54d2d
27,Chris Armstrong,eng ENG,DFMF,Reading,27,1982,7,6,562,6.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0eb69685
28,Ian Ashbee,eng ENG,MF,Preston,33,1976,19,19,1637,18.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,223c0803
29,Ian Ashbee,eng ENG,MF,Hull City,33,1976,19,19,1567,17.4,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,223c0803
30,Jamie Ashdown,eng ENG,GK,Portsmouth,29,1980,46,46,4140,46.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0f056348
31,Ross Atkins,eng ENG,GK,Derby County,20,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a88fb3b0
32,Will Atkinson,eng ENG,MF,Hull City,21,1988,4,3,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a16b77f1
33,Charlie Austin,eng ENG,FW,Burnley,21,1989,4,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8d228291
34,Daniel Ayala,es ESP,DF,Derby County,19,1990,17,16,1444,16.0,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,302560a0
35,Daniel Ayala,es ESP,DF,Hull City,19,1990,12,12,1080,12.0,1,1,2,1,0,0,6,0,0.08,0.08,0.17,0.08,0.17,302560a0
36,James Bailey,eng ENG,DFMF,Derby County,21,1988,36,32,2917,32.4,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,c16d7863
37,Nicky Bailey,eng ENG,MF,Middlesbrough,26,1984,34,28,2687,29.9,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,9f2550f3
38,Carl Baker,eng ENG,MF,Coventry City,27,1982,32,19,1691,18.8,1,0,1,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,9ab0af00
39,Callum Ball,eng ENG,FW,Derby County,17,1992,5,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8ecb0ec5
40,Sol Bamba,ci CIV,DF,Leicester City,25,1985,16,16,1389,15.4,2,1,3,2,0,0,4,0,0.13,0.06,0.19,0.13,0.19,5534217d
41,Barry Bannan,sct SCO,MF,Leeds United,20,1989,7,3,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9469fb13
42,Shaun Barker,eng ENG,DF,Derby County,27,1982,43,42,3786,42.1,1,0,1,1,0,0,9,0,0.02,0.00,0.02,0.02,0.02,60fe6e17
43,Nick Barmby,eng ENG,FWMF,Hull City,36,1974,31,8,1071,11.9,5,1,6,5,0,0,5,0,0.42,0.08,0.50,0.42,0.50,4af0a400
44,Leon Barnett,eng ENG,DF,Norwich City,24,1985,25,25,2238,24.9,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,76854cdf
45,Adam Barrett,eng ENG,DF,Crystal Palace,30,1979,7,5,516,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2093e386
46,Scott Barron,eng ENG,DFMF,Millwall,24,1985,38,35,3173,35.3,2,0,2,2,0,0,9,0,0.06,0.00,0.06,0.06,0.06,f044c24e
47,Kyle Bartley,eng ENG,DF,Sheffield United,19,1991,21,21,1881,20.9,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,18e96f64
48,Marvin Bartley,eng ENG,MF,Burnley,24,1986,5,3,223,2.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,be726139
49,Adam Barton,nir NIR,MF,Preston,19,1991,33,24,2214,24.6,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,a36b02fd
50,Matthew Bates,eng ENG,DF,Middlesbrough,23,1986,31,31,2685,29.8,3,1,4,3,0,0,3,0,0.10,0.03,0.13,0.10,0.13,dd7a0bfe
51,Danny Batth,eng ENG,DF,Sheffield United,19,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f1d0fa63
52,Craig Beattie,sct SCO,FW,Swansea City,26,1984,22,9,821,9.1,4,0,4,4,0,0,0,0,0.44,0.00,0.44,0.44,0.44,0fe1ad79
53,Luciano Becchio,ar ARG,FW,Leeds United,26,1983,41,34,2986,33.2,19,8,27,19,0,0,5,0,0.57,0.24,0.81,0.57,0.81,3b3d4028
54,Roman Bednář,cz CZE,FW,Leicester City,27,1983,5,4,243,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,a6979454
55,Tijani Belaïd,tn TUN,MF,Hull City,22,1987,8,3,284,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,7a3d712f
56,David Bell,ie IRL,MF,Coventry City,26,1984,22,20,1677,18.6,2,2,4,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,2c2ca58b
57,Craig Bellamy,wls WAL,FW,Cardiff City,31,1979,35,34,2979,33.1,11,11,22,11,0,0,9,0,0.33,0.33,0.66,0.33,0.66,b9eae55b
58,Dale Bennett,eng ENG,DF,Watford,20,1990,10,5,518,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,473fb36c
59,Joe Bennett,eng ENG,DFMF,Middlesbrough,20,1990,31,28,2604,28.9,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,dc936144
60,Julian Bennett,eng ENG,DF,Crystal Palace,25,1984,13,10,1050,11.7,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,7a7e26a7
61,Julian Bennett,eng ENG,DF,Nottingham,25,1984,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7a7e26a7
