,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Rolando Aarons,eng ENG,MF,Huddersfield,25,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5942695
2,Kelvin Abrefa,eng ENG,DF,Reading,17,2003,3,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ceabce33
3,Tosin Adarabioyo,eng ENG,DF,Fulham,23,1997,41,41,3684,40.9,2,2,4,2,0,0,3,1,0.05,0.05,0.10,0.05,0.10,Matches,c81d773d
4,Elijah Adebayo,eng ENG,FW,Luton Town,23,1998,40,38,3370,37.4,16,4,20,13,3,5,6,0,0.43,0.11,0.53,0.35,0.45,Matches,0480ebc7
5,Victor Adeboyejo,eng ENG,MFFW,Barnsley,23,1998,26,7,965,10.7,3,1,4,3,0,0,2,0,0.28,0.09,0.37,0.28,0.37,Matches,e3c24495
6,Albert Adomah,gh GHA,MF,QPR,33,1987,33,22,2205,24.5,2,3,5,2,0,0,3,0,0.08,0.12,0.20,0.08,0.20,Matches,c7174e81
7,Benik Afobe,cd COD,FWMF,Millwall,28,1993,38,34,3043,33.8,12,3,15,10,2,2,4,0,0.35,0.09,0.44,0.30,0.38,Matches,b63f4077
8,Osazee Aghatise,eng ENG,MF,Derby County,18,2002,3,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fff20409
9,Semi Ajayi,ng NGA,DF,West Brom,27,1993,31,27,2476,27.5,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,d6192210
10,Chuba Akpom,eng ENG,FWMF,Middlesbrough,25,1995,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2b384d2
11,Jamie Allen,eng ENG,MF,Coventry City,26,1995,38,29,2623,29.1,1,2,3,1,0,0,1,0,0.03,0.07,0.10,0.03,0.10,Matches,2c183a79
12,Joe Allen,wls WAL,MF,Stoke City,31,1990,41,38,3478,38.6,0,1,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,Matches,9feb8f24
13,Ryan Allsop,eng ENG,GK,Derby County,29,1992,30,29,2624,29.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
14,Luke Amos,eng ENG,MF,QPR,24,1997,29,15,1348,15.0,6,0,6,6,0,0,4,0,0.40,0.00,0.40,0.40,0.40,Matches,77128f7e
15,Keshi Anderson,eng ENG,MF,Blackpool,26,1995,32,29,2614,29.0,4,4,8,4,0,0,6,0,0.14,0.14,0.28,0.14,0.28,Matches,864a3eba
16,Chuks Aneke,eng ENG,FW,Birmingham City,28,1993,18,1,395,4.4,2,0,2,2,0,0,1,0,0.46,0.00,0.46,0.46,0.46,Matches,c3afe72e
17,Frank Anguissa,cm CMR,MF,Fulham,25,1995,3,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bb2c084
18,Faustino Anjorin,eng ENG,MF,Huddersfield,19,2001,7,0,140,1.6,1,0,1,0,1,1,0,0,0.64,0.00,0.64,0.00,0.00,Matches,b105919e
19,Jaidon Anthony,eng ENG,FWMF,Bournemouth,21,1999,45,38,3251,36.1,8,6,14,8,0,0,3,0,0.22,0.17,0.39,0.22,0.39,Matches,e4238fb1
20,Felipe Araruna,br BRA,MF,Reading,25,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6b94d77
21,Cameron Archer,eng ENG,FW,Preston,20,2001,20,18,1619,18.0,7,1,8,7,0,0,1,0,0.39,0.06,0.44,0.39,0.44,Matches,05e8ca6d
22,Tyrell Ashcroft,eng ENG,MFDF,Reading,17,2004,4,4,303,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7675488
23,Zachary Ashworth,wls WAL,DFMF,West Brom,18,2002,2,0,69,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d813936f
24,Robert Atkinson,eng ENG,DF,Bristol City,23,1998,34,29,2664,29.6,2,1,3,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,Matches,181df6a4
25,Charlie Austin,eng ENG,FW,QPR,32,1989,34,15,1562,17.4,5,1,6,4,1,2,4,0,0.29,0.06,0.35,0.23,0.29,Matches,8d228291
26,Daniel Ayala,es ESP,DF,Blackburn,30,1990,21,16,1445,16.1,2,0,2,2,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,302560a0
27,Femi Azeez,ng NGA,MFFW,Reading,20,2001,13,5,557,6.2,2,0,2,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,2d590087
28,Fin Back,eng ENG,MFDF,Nottingham,18,2002,3,2,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,328ad94f
29,Juninho Bacuna,cw CUW,MFFW,Birmingham City,23,1997,17,16,1304,14.5,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches,aaf1bf05
30,Leandro Bacuna,cw CUW,MFFW,Cardiff City,29,1991,15,13,1022,11.4,1,0,1,1,0,0,4,1,0.09,0.00,0.09,0.09,0.09,Matches,9dc69d38
31,Joel Bagan,ie IRL,DFMF,Cardiff City,21,2000,26,22,2053,22.8,3,2,5,3,0,0,5,0,0.13,0.09,0.22,0.13,0.22,Matches,e9da32cb
32,Lewis Baker,eng ENG,MF,Stoke City,26,1995,21,20,1798,20.0,8,2,10,5,3,3,1,0,0.40,0.10,0.50,0.25,0.35,Matches,1b278bf5
33,Nathan Baker,eng ENG,DF,Bristol City,30,1991,15,13,1003,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,b18af9e3
34,Tyreeq Bakinson,eng ENG,MF,Bristol City,22,1998,13,10,854,9.5,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,f918369c
35,George Baldock,gr GRE,MFDF,Sheffield United,28,1993,25,24,2037,22.6,1,2,3,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,Matches,394854c4
36,Sam Baldock,eng ENG,FW,Derby County,32,1989,13,12,799,8.9,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,9d597f08
37,Dominic Ball,eng ENG,MF,QPR,25,1995,20,13,1215,13.5,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,79d61875
38,Daniel Ballard,nir NIR,DF,Millwall,21,1999,31,30,2636,29.3,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,38f300f3
