 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Godwin Abadaki,,FW,Rochdale,17,1993,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,287b9f0e
2,Blair Adams,eng ENG,DF,Brentford,19,1991,7,6,510,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,739a0921
3,Nicky Adams,wls WAL,MF,Rochdale,24,1986,41,30,2680,29.8,4,4,8,4,0,0,2,1,0.13,0.13,0.27,0.13,0.27,a1a33d78
4,Miles Addison,eng ENG,DFMF,Bournemouth,22,1989,14,14,1260,14.0,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,ccc9bd95
5,Dele Adebola,ng NGA,FW,Notts County,36,1975,6,3,331,3.7,1,1,2,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,498b401e
6,Tom Adeyemi,eng ENG,MF,Oldham Athletic,19,1991,36,33,3026,33.6,2,1,3,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,e278cebf
7,Samuel Adjei,se SWE,FW,Hartlepool,19,1992,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8a0b83dc
8,Kieran Agard,eng ENG,FWMF,Yeovil Town,21,1989,29,13,1413,15.7,6,0,6,6,0,0,5,1,0.38,0.00,0.38,0.38,0.38,a6c9bf1c
9,Patrick Agyemang,gh GHA,FW,Stevenage,30,1980,13,10,834,9.3,1,2,3,1,0,0,0,0,0.11,0.22,0.32,0.11,0.32,80f1245c
10,Gareth Ainsworth,eng ENG,MF,Wycombe,38,1973,32,16,1498,16.6,2,6,8,2,0,0,2,1,0.12,0.36,0.48,0.12,0.48,8ddfb8b9
11,Nicky Ajose,eng ENG,FW,Scunthorpe,19,1991,7,2,235,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,9ba0ea6e
12,Nicky Ajose,eng ENG,FW,Chesterfield,19,1991,12,5,548,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,9ba0ea6e
13,Lucas Akins,gd GRN,DFFW,Tranmere Rovers,22,1989,44,36,3208,35.6,5,6,11,5,0,0,2,0,0.14,0.17,0.31,0.14,0.31,a8e93bd1
14,Jean-Louis Akpa Akpro,ci CIV,FW,Rochdale,26,1985,41,30,2800,31.1,7,3,10,7,0,0,4,0,0.23,0.10,0.32,0.23,0.32,de365d76
