,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Blair Adams,eng ENG,DF,Coventry City,20,1991,16,16,1395,15.5,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,739a0921
2,Charlie Adams,eng ENG,MF,Brentford,18,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a6d6e9d0
3,Nicky Adams,wls WAL,MF,Crawley Town,25,1986,46,45,3966,44.1,8,9,17,8,0,0,1,0,0.18,0.20,0.39,0.18,0.39,a1a33d78
4,Miles Addison,eng ENG,DFMF,Bournemouth,23,1989,20,20,1800,20.0,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,ccc9bd95
5,Hakeeb Adelakun,eng ENG,FWMF,Scunthorpe,16,1996,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,042d182c
6,Tom Adeyemi,eng ENG,MF,Brentford,20,1991,30,21,1821,20.2,2,2,4,2,0,0,3,1,0.10,0.10,0.20,0.10,0.20,e278cebf
7,Patrick Agyemang,gh GHA,FW,Portsmouth,31,1980,14,14,1153,12.8,2,4,6,2,0,0,0,0,0.16,0.31,0.47,0.16,0.47,80f1245c
8,Patrick Agyemang,gh GHA,FW,Stevenage,31,1980,14,5,453,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,80f1245c
9,Nicky Ajose,eng ENG,FW,Bury,20,1991,19,15,1347,15.0,4,4,8,4,0,0,0,0,0.27,0.27,0.53,0.27,0.53,9ba0ea6e
10,Nicky Ajose,eng ENG,FW,Crawley Town,20,1991,19,10,915,10.2,2,2,4,2,0,0,1,0,0.20,0.20,0.39,0.20,0.39,9ba0ea6e
11,John Akinde,eng ENG,FW,Crawley Town,23,1989,6,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,93a09a47
12,John Akinde,eng ENG,FW,Portsmouth,23,1989,11,3,353,3.9,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,93a09a47
13,Lucas Akins,gd GRN,DFFW,Stevenage,23,1989,46,41,3607,40.1,10,3,13,6,4,4,4,0,0.25,0.07,0.32,0.15,0.22,a8e93bd1
14,Jean-Louis Akpa Akpro,ci CIV,FW,Tranmere Rovers,27,1985,28,27,2259,25.1,8,2,10,8,0,0,0,1,0.32,0.08,0.40,0.32,0.40,de365d76
15,Hope Akpan,ng NGA,MF,Crawley Town,20,1991,21,21,1835,20.4,4,4,8,4,0,0,6,2,0.20,0.20,0.39,0.20,0.39,1ccbca79
16,James Alabi,eng ENG,FW,Scunthorpe,17,1994,9,0,185,2.1,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49,1c7b983d
17,Farid El Alagui,ma MAR,FW,Brentford,26,1985,11,7,633,7.0,3,2,5,3,0,0,1,0,0.43,0.28,0.71,0.43,0.71,d67766ae
18,Gary Alexander,eng ENG,FW,Crawley Town,32,1979,27,25,2243,24.9,4,1,5,3,1,1,4,0,0.16,0.04,0.20,0.12,0.16,de915071
19,Scott Allan,sct SCO,MF,Portsmouth,20,1991,9,6,570,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,fbd29892
