,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Adam El-Abd,eg EGY,DF,Bristol City,28,1984,14,13,1035,11.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,4eb90566
2,Blair Adams,eng ENG,DF,Coventry City,21,1991,36,34,3062,34.0,0,5,5,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,739a0921
3,Charlie Adams,eng ENG,MF,Brentford,19,1994,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,a6d6e9d0
4,Nicky Adams,wls WAL,MF,Crawley Town,26,1986,24,24,2068,23.0,1,2,3,1,0,0,1,0,0.04,0.09,0.13,0.04,0.13,a1a33d78
5,Nicky Adams,wls WAL,MF,Rotherham,26,1986,14,7,629,7.0,1,3,4,1,0,0,1,0,0.14,0.43,0.57,0.14,0.57,a1a33d78
6,Miles Addison,eng ENG,DFMF,Rotherham,24,1989,6,4,381,4.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,ccc9bd95
7,Kieran Agard,eng ENG,FWMF,Rotherham,23,1989,46,43,3930,43.7,21,2,23,16,5,6,5,0,0.48,0.05,0.53,0.37,0.41,a6c9bf1c
8,Nicky Ajose,eng ENG,FW,Swindon Town,21,1991,16,12,1083,12.0,6,1,7,6,0,0,0,0,0.50,0.08,0.58,0.50,0.58,9ba0ea6e
9,Nicky Ajose,eng ENG,FW,Peterborough,21,1991,22,19,1675,18.6,7,0,7,7,0,0,1,0,0.38,0.00,0.38,0.38,0.38,9ba0ea6e
10,Adebayo Akinfenwa,eng ENG,FW,Gillingham,31,1982,34,17,1564,17.4,10,5,15,8,2,2,2,0,0.58,0.29,0.86,0.46,0.75,dcb17ca5
11,Lucas Akins,gd GRN,DFFW,Stevenage,24,1989,31,25,2289,25.4,3,3,6,2,1,1,1,1,0.12,0.12,0.24,0.08,0.20,a8e93bd1
12,Jean-Louis Akpa Akpro,ci CIV,FW,Tranmere Rovers,28,1985,25,21,1809,20.1,2,3,5,2,0,0,4,0,0.10,0.15,0.25,0.10,0.25,de365d76
13,Chuba Akpom,eng ENG,FWMF,Brentford,17,1995,4,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e2b384d2
14,Chuba Akpom,eng ENG,FWMF,Coventry City,17,1995,6,5,395,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,e2b384d2
15,Farid El Alagui,ma MAR,FW,Brentford,27,1985,12,1,234,2.6,1,2,3,1,0,0,0,0,0.38,0.77,1.15,0.38,1.15,d67766ae
16,Craig Alcock,eng ENG,DF,Peterborough,25,1987,28,24,2086,23.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,86f6cfd2
17,Gary Alexander,eng ENG,FW,Crawley Town,33,1979,21,9,919,10.2,4,0,4,4,0,1,4,1,0.39,0.00,0.39,0.39,0.39,de915071
18,Charlie Allen,eng ENG,MF,Gillingham,21,1992,5,2,215,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,4a500487
19,Dele Alli,eng ENG,FWMF,MK Dons,17,1996,33,24,2171,24.1,6,1,7,6,0,0,6,0,0.25,0.04,0.29,0.25,0.29,cea4ee8f
