,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brad Abbott,eng ENG,MF,Barnsley,19,1994,5,4,314,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d6fa48c0
2,Adam El-Abd,eg EGY,DF,Bristol City,29,1984,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4eb90566
3,Blair Adams,eng ENG,DF,Notts County,22,1991,34,31,2631,29.2,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,Matches,739a0921
4,Ché Adams,sct SCO,FWMF,Sheffield United,18,1996,10,5,467,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f2bf1b0f
5,Miles Addison,eng ENG,DFMF,Scunthorpe,25,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ccc9bd95
6,Victor Adeboyejo,eng ENG,FW,Leyton Orient,16,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3c24495
7,Hakeeb Adelakun,eng ENG,FWMF,Scunthorpe,18,1996,32,7,1034,11.5,6,2,8,6,0,0,3,0,0.52,0.17,0.70,0.52,0.70,Matches,042d182c
8,Benik Afobe,cd COD,FW,MK Dons,21,1993,22,11,1259,14.0,10,2,12,9,1,1,2,0,0.71,0.14,0.86,0.64,0.79,Matches,b63f4077
9,Kieran Agard,eng ENG,FWMF,Bristol City,24,1989,39,34,2880,32.0,13,4,17,12,1,2,3,0,0.41,0.12,0.53,0.37,0.50,Matches,a6c9bf1c
10,Harry Agombar,eng ENG,FW,Swindon Town,22,1992,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59e83b25
11,Montel Agyemang,eng ENG,MF,Leyton Orient,17,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11f68bb8
12,Nicky Ajose,eng ENG,FW,Crewe Alexandra,22,1991,27,23,2022,22.5,8,4,12,6,2,3,0,0,0.36,0.18,0.53,0.27,0.45,Matches,9ba0ea6e
13,Craig Alcock,eng ENG,DF,Sheffield United,26,1987,24,17,1646,18.3,0,2,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,86f6cfd2
14,Jamie Allen,eng ENG,MF,Rochdale,19,1995,35,33,2741,30.5,0,2,2,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,2c183a79
15,Dele Alli,eng ENG,FWMF,MK Dons,18,1996,39,39,3399,37.8,16,9,25,16,0,0,7,0,0.42,0.24,0.66,0.42,0.66,Matches,cea4ee8f
16,Ryan Allsop,eng ENG,GK,Coventry City,22,1992,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
17,Ben Alnwick,eng ENG,GK,Peterborough,27,1987,41,41,3690,41.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55b11e73
18,Jak Alnwick,eng ENG,GK,Bradford City,21,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b0835fc0
19,Blair Anderson,,MF,Crawley Town,22,1992,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c893353
20,Harry Anderson,eng ENG,FWMF,Peterborough,17,1997,10,6,596,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6f940ed
21,Jermaine Anderson,eng ENG,DFMF,Peterborough,18,1996,24,19,1614,17.9,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,97d9a4df
22,Calvin Andrew,eng ENG,FW,Rochdale,27,1986,32,5,977,10.9,5,0,5,5,0,0,4,0,0.46,0.00,0.46,0.46,0.46,Matches,4b2711f5
23,Danny Andrew,eng ENG,DFMF,Fleetwood Town,23,1990,7,6,489,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90b57521
24,Keith Andrews,ie IRL,MF,MK Dons,33,1980,5,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5bca867f
