,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Stanley Aborah,be BEL,MF,Gillingham,23,1987,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dc3c0627
2,Patrick Ada,cm CMR,DF,Crewe Alexandra,25,1985,40,39,3515,39.1,1,1,2,1,0,0,4,0,0.03,0.03,0.05,0.03,0.05,b0f672b6
3,Tom Adeyemi,eng ENG,MF,Bradford City,18,1991,34,30,2613,29.0,5,1,6,5,0,0,1,0,0.17,0.03,0.21,0.17,0.21,e278cebf
4,Kwame Adjeman-Pamboe,eng ENG,MF,Barnet,22,1987,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c55d43a6
5,Gareth Ainsworth,eng ENG,MF,Wycombe,37,1973,43,39,3200,35.6,10,5,15,10,0,0,5,0,0.28,0.14,0.42,0.28,0.42,8ddfb8b9
6,Lionel Ainsworth,eng ENG,MF,Shrewsbury,22,1987,33,21,1815,20.2,9,4,13,9,0,0,2,0,0.45,0.20,0.64,0.45,0.64,2f9d0135
7,Nicky Ajose,eng ENG,FW,Bury,18,1991,28,22,1977,22.0,13,6,19,13,0,0,0,0,0.59,0.27,0.86,0.59,0.86,9ba0ea6e
8,Adebayo Akinfenwa,eng ENG,FW,Gillingham,28,1982,44,40,3526,39.2,11,5,16,9,2,3,3,0,0.28,0.13,0.41,0.23,0.36,dcb17ca5
9,Tom Aldred,sct SCO,DF,Stockport,19,1990,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,2a75e914
10,Zac Aley,eng ENG,FWMF,Morecambe,18,1991,2,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4c03e4f5
11,Mark Allott,eng ENG,MF,Chesterfield,32,1977,36,33,2958,32.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,41c2d028
12,Joe Anderson,eng ENG,DF,Lincoln City,20,1989,22,19,1724,19.2,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,2d56c75b
13,Danny Andrew,eng ENG,DFMF,Cheltenham,19,1990,43,43,3857,42.9,4,6,10,4,0,0,6,0,0.09,0.14,0.23,0.09,0.23,90b57521
14,Jamie Annerson,eng ENG,GK,Rotherham,21,1988,9,8,780,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,6882dcc1
15,Joe Anyon,eng ENG,GK,Lincoln City,23,1986,21,21,1866,20.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1794a512
16,Joe Anyon,eng ENG,GK,Morecambe,23,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1794a512
17,David Artell,gi GIB,DF,Crewe Alexandra,29,1980,40,40,3511,39.0,4,0,4,4,0,0,4,0,0.10,0.00,0.10,0.10,0.10,18ff530d
18,Frankie Artus,eng ENG,MF,Cheltenham,21,1988,29,21,1714,19.0,3,0,3,3,0,0,4,0,0.16,0.00,0.16,0.16,0.16,65b953de
19,Kyle Asante,eng ENG,FW,Southend United,18,1991,9,1,138,1.5,1,0,1,1,0,0,1,0,0.65,0.00,0.65,0.65,0.65,6fa1bf20
20,Jon Ashton,eng ENG,DF,Stevenage,27,1982,38,37,3242,36.0,1,2,3,1,0,0,6,0,0.03,0.06,0.08,0.03,0.08,149041a4
21,Luke Ashworth,eng ENG,DF,Rotherham,20,1989,9,3,389,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,61e1c57e
22,Mansour Assoumani,ml MLI,DF,Stockport,27,1983,36,34,2981,33.1,1,0,1,1,0,0,3,1,0.03,0.00,0.03,0.03,0.03,ba962670
23,Taiwo Atieno,ke KEN,FW,Stevenage,24,1985,1,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c78e27e8
24,Will Atkinson,eng ENG,MF,Rotherham,21,1988,3,3,235,2.6,1,0,1,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,a16b77f1
25,Ryan Austin,eng ENG,DF,Burton Albion,25,1984,24,20,1840,20.4,0,2,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,9a686619
26,Richie Baker,eng ENG,MF,Oxford United,22,1987,6,0,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3a998878
27,Ollie Banks,eng ENG,DFFW,Rotherham,17,1992,1,0,14,0.2,1,0,1,1,0,0,0,0,6.43,0.00,6.43,6.43,6.43,d4ec6c9a
28,Andy Barcham,eng ENG,FWMF,Gillingham,23,1986,24,18,1641,18.2,6,2,8,6,0,0,0,0,0.33,0.11,0.44,0.33,0.44,75d942ab
29,Chris Barker,eng ENG,DF,Southend United,30,1980,43,43,3840,42.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,c67c2a68
30,Charlie Barnett,eng ENG,MF,Accrington,21,1988,40,31,2646,29.4,2,4,6,2,0,0,5,0,0.07,0.14,0.20,0.07,0.20,9eb6ca3e
31,Tyrone Barnett,eng ENG,FW,Macclesfield,24,1985,45,45,4017,44.6,13,4,17,13,0,0,5,0,0.29,0.09,0.38,0.29,0.38,ba241676
32,Adam Bartlett,eng ENG,GK,Hereford United,24,1986,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,673406a9
33,Grant Basey,wls WAL,DF,Barnet,21,1988,11,11,946,10.5,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,c7a44a4e
34,Jonathan Bateson,eng ENG,DF,Accrington,20,1989,12,12,1063,11.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,e789297b
35,Damian Batt,eng ENG,DF,Oxford United,25,1984,28,27,2259,25.1,0,1,1,0,0,0,1,1,0.00,0.04,0.04,0.00,0.04,3448a1a5
36,Guillem Bauzà,es ESP,FWMF,Northampton,25,1984,10,9,804,8.9,4,0,4,4,0,0,2,0,0.45,0.00,0.45,0.45,0.45,dcd02ac9
37,Guillem Bauzà,es ESP,FWMF,Hereford United,25,1984,12,9,811,9.0,2,0,2,1,1,2,3,0,0.22,0.00,0.22,0.11,0.11,dcd02ac9
38,Chris Beardsley,eng ENG,FW,Stevenage,26,1984,23,14,1331,14.8,1,2,3,1,0,0,4,0,0.07,0.14,0.20,0.07,0.20,7aa4c2c8
39,Stuart Beavon,eng ENG,FW,Wycombe,26,1984,37,30,2665,29.6,3,2,5,3,0,0,1,0,0.10,0.07,0.17,0.10,0.17,540bcb3b
40,Dean Beckwith,eng ENG,DF,Northampton,26,1983,37,35,3086,34.3,3,0,3,3,0,0,7,1,0.09,0.00,0.09,0.09,0.09,074ef683
41,Cameron Belford,eng ENG,GK,Bury,21,1988,39,39,3479,38.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,25e47120
42,Lee Bell,eng ENG,DFMF,Crewe Alexandra,27,1983,45,45,4004,44.5,1,3,4,1,0,1,5,0,0.02,0.07,0.09,0.02,0.09,e9acd900
43,Tommaso Bellazzini,it ITA,MF,Port Vale,22,1987,3,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2d629a65
44,Hamza Bencherif,dz ALG,DFMF,Macclesfield,22,1988,41,36,3263,36.3,11,2,13,11,0,0,5,0,0.30,0.06,0.36,0.30,0.36,77bb7a30
45,Alan Bennett,ie IRL,DF,Wycombe,28,1981,17,16,1385,15.4,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,46a58262
46,Kyle Bennett,eng ENG,MF,Bury,19,1990,32,13,1419,15.8,2,4,6,2,0,0,1,0,0.13,0.25,0.38,0.13,0.38,46b16c2c
47,Jim Bentley,eng ENG,DF,Morecambe,34,1976,8,7,648,7.2,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,a3d1f972
48,Mark Bentley,eng ENG,DFMF,Gillingham,32,1978,25,15,1369,15.2,2,2,4,2,0,0,5,1,0.13,0.13,0.26,0.13,0.26,e82d654d
49,Elliot Benyon,eng ENG,FW,Torquay United,22,1987,23,22,1885,20.9,13,1,14,12,1,2,4,0,0.62,0.05,0.67,0.57,0.62,d5e92a6b
50,Doug Bergqvist,se SWE,DF,Aldershot Town,17,1993,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,73221bb0
51,Kevin Betsy,sc SEY,FWMF,Wycombe,32,1978,45,41,3745,41.6,6,5,11,6,0,0,5,0,0.14,0.12,0.26,0.14,0.26,2daed131
52,Scott Bevan,eng ENG,GK,Torquay United,30,1979,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,71779ca3
53,Dave Bird,eng ENG,MF,Cheltenham,25,1984,39,27,2735,30.4,0,3,3,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,f0352d82
54,Andy Bishop,eng ENG,FW,Bury,27,1982,19,14,1130,12.6,4,4,8,4,0,1,2,0,0.32,0.32,0.64,0.32,0.64,e793de7f
55,Danny Blanchett,eng ENG,DF,Crewe Alexandra,23,1987,39,38,3336,37.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1140d640
56,Dominic Blizzard,eng ENG,MF,Port Vale,26,1983,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4a05e540
57,Matt Bloomfield,eng ENG,MF,Wycombe,26,1984,34,30,2534,28.2,3,3,6,3,0,0,7,0,0.11,0.11,0.21,0.11,0.21,a57ae0ee
58,Scott Boden,eng ENG,FWMF,Chesterfield,20,1989,23,2,431,4.8,3,2,5,3,0,0,0,0,0.63,0.42,1.04,0.63,1.04,36971f53
59,Paul Boertien,eng ENG,DF,Burton Albion,31,1979,16,15,1206,13.4,0,4,4,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,cfac040d
60,Adam Bolder,eng ENG,MF,Burton Albion,29,1980,37,32,2819,31.3,1,3,4,1,0,0,5,0,0.03,0.10,0.13,0.03,0.13,0acd3255
61,Paul Bolland,eng ENG,MF,Macclesfield,30,1979,32,31,2650,29.4,2,0,2,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,97f4bbdc
62,Michael Bostwick,eng ENG,DFMF,Stevenage,22,1988,41,41,3602,40.0,2,3,5,2,0,0,6,0,0.05,0.07,0.12,0.05,0.12,649b0d73
63,Rory Boulding,eng ENG,FW,Accrington,22,1988,15,6,546,6.1,2,0,2,2,0,0,1,0,0.33,0.00,0.33,0.33,0.33,697ae603
64,Jordan Bowery,kn SKN,DFFW,Chesterfield,19,1991,27,5,654,7.3,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,8f5a4e15
65,Lee Boylan,ie IRL,FW,Stevenage,31,1978,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8ce5ea93
66,Mark Bradley,wls WAL,DFMF,Rotherham,22,1988,21,14,1225,13.6,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,301ceabb
67,Tom Bradshaw,wls WAL,FW,Shrewsbury,18,1992,26,13,1227,13.6,6,3,9,6,0,0,0,0,0.44,0.22,0.66,0.44,0.66,a9d071f8
68,Ritchie Branagan,ie IRL,GK,Bury,18,1991,2,1,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,db00abb1
69,Guy Branston,eng ENG,DF,Torquay United,31,1979,45,45,3979,44.2,2,1,3,2,0,0,9,0,0.05,0.02,0.07,0.05,0.07,7e17f7fe
70,Ian Breckin,eng ENG,DF,Chesterfield,35,1975,25,19,1766,19.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,a293d229
71,David Bridges,eng ENG,MF,Stevenage,27,1982,19,8,833,9.3,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,70f656a5
72,Kris Bright,nz NZL,FW,Shrewsbury,23,1986,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1bc5a0d3
73,Shaun Brisley,eng ENG,DF,Macclesfield,20,1990,14,12,1094,12.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,cf4522d0
74,Stephen Brogan,eng ENG,DF,Rotherham,22,1988,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8364660c
75,Drewe Broughton,eng ENG,FW,Lincoln City,31,1978,23,9,765,8.5,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,48875315
76,Aaron Brown,eng ENG,DFMF,Stockport,27,1983,17,17,1530,17.0,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,1b7d3ae2
77,Kayleden Brown,wls WAL,FW,Port Vale,18,1992,4,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,86bffd73
78,Nat Brown,eng ENG,DF,Macclesfield,29,1981,44,44,3903,43.4,2,2,4,2,0,0,2,0,0.05,0.05,0.09,0.05,0.09,078a5f15
79,Reece Brown,eng ENG,DFMF,Bradford City,18,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3c0fba18
80,Scott Brown,eng ENG,MF,Morecambe,25,1985,32,19,1715,19.1,3,2,5,3,0,0,2,0,0.16,0.10,0.26,0.16,0.26,8adefff9
81,Scott Brown,eng ENG,GK,Cheltenham,25,1985,46,46,4140,46.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,5f95f4d6
82,Nikki Bull,eng ENG,GK,Wycombe,28,1981,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,189ac21b
83,Lee Bullock,eng ENG,MF,Bradford City,29,1981,26,22,1852,20.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1b44751d
84,Dannie Bulman,eng ENG,MF,Oxford United,31,1979,5,4,311,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,fd567e78
85,Ryan Burge,eng ENG,MF,Oxford United,21,1988,5,5,431,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fea42f40
86,Alan Burton,eng ENG,MF,Accrington,19,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3ecc42f3
87,Richard Butcher,eng ENG,MF,Macclesfield,29,1981,7,5,435,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,dbc17805
88,Mark Byrne,ie IRL,MF,Barnet,21,1988,28,26,2306,25.6,6,1,7,6,0,0,5,0,0.23,0.04,0.27,0.23,0.27,f2c487f1
89,Joel Byrom,eng ENG,MF,Stevenage,23,1986,7,5,448,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,ea1ded73
90,Niall Canavan,ie IRL,DF,Shrewsbury,19,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,f7ce89e7
91,Sean Canham,eng ENG,FW,Hereford United,25,1984,16,7,659,7.3,2,0,2,2,0,0,3,1,0.27,0.00,0.27,0.27,0.27,237a59fa
92,Tony Capaldi,nir NIR,DFMF,Morecambe,28,1981,18,17,1520,16.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,fca32f3b
93,Mustapha Carayol,gm GAM,FWMF,Lincoln City,21,1988,33,24,2121,23.6,3,3,6,3,0,0,3,0,0.13,0.13,0.25,0.13,0.25,597d0f13
94,Wayne Carlisle,nir NIR,MF,Torquay United,30,1979,10,3,437,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,45d2f63e
95,Danny Carlton,eng ENG,FW,Morecambe,26,1983,16,11,1012,11.2,3,1,4,3,0,0,2,0,0.27,0.09,0.36,0.27,0.36,20353c9b
96,Danny Carlton,eng ENG,FW,Bury,26,1983,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,20353c9b
97,Trevor Carson,nir NIR,GK,Lincoln City,22,1988,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dc1fe167
98,Lewis Chalmers,eng ENG,MF,Macclesfield,24,1986,30,22,1898,21.1,2,3,5,0,2,2,1,0,0.09,0.14,0.24,0.00,0.14,a47842ec
99,Anthony Charles,eng ENG,DF,Aldershot Town,29,1981,41,41,3690,41.0,5,0,5,4,1,2,9,0,0.12,0.00,0.12,0.10,0.10,d0d0cd10
100,Darius Charles,eng ENG,DFFW,Stevenage,22,1987,28,20,1774,19.7,2,1,3,2,0,0,4,1,0.10,0.05,0.15,0.10,0.15,35bc4906
101,Kieran Charnock,eng ENG,DF,Morecambe,25,1984,21,20,1861,20.7,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,944a5601
102,Kieran Charnock,eng ENG,DF,Torquay United,25,1984,4,1,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,944a5601
103,Chibuzor Chilaka,ng NGA,FWMF,Bradford City,23,1986,4,0,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b3eb1a76
104,Alex Cisak,au AUS,GK,Accrington,21,1989,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1bbe1801
105,Jamie Clapham,eng ENG,DF,Lincoln City,34,1975,25,21,1883,20.9,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,1df59e7b
106,Ryan Clarke,eng ENG,GK,Oxford United,28,1982,46,46,4140,46.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,854761a8
107,Craig Clay,eng ENG,DFMF,Chesterfield,18,1992,3,1,127,1.4,1,0,1,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,c003124a
108,Max Clayton,eng ENG,FW,Crewe Alexandra,15,1994,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,f30a0031
109,Simon Clist,eng ENG,MF,Oxford United,29,1981,23,16,1600,17.8,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,05cb5128
110,Sean Clohessy,eng ENG,DF,Southend United,23,1986,46,46,4127,45.9,1,4,5,1,0,0,1,1,0.02,0.09,0.11,0.02,0.11,f546e3e8
111,Danny Coid,eng ENG,DF,Rotherham,28,1981,9,9,741,8.2,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,d48abb1e
112,Joe Colbeck,eng ENG,MF,Hereford United,23,1986,44,40,3510,39.0,5,7,12,5,0,0,5,1,0.13,0.18,0.31,0.13,0.31,d96c3efb
113,Jake Cole,eng ENG,GK,Barnet,24,1985,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,7c5b4491
114,Mitchell Cole,eng ENG,MF,Oxford United,24,1985,4,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4db4a61d
115,James Collins,ie IRL,FW,Burton Albion,19,1990,10,9,768,8.5,4,0,4,4,0,0,0,0,0.47,0.00,0.47,0.47,0.47,95471a13
