 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Hakeeb Adelakun,eng ENG,FWMF,Scunthorpe,17,1996,28,8,1099,12.2,2,3,5,2,0,0,0,0,0.16,0.25,0.41,0.16,0.41,042d182c
2,Patrick Agyemang,gh GHA,FW,Portsmouth,32,1980,41,24,2063,22.9,4,3,7,4,0,0,0,0,0.17,0.13,0.31,0.17,0.31,80f1245c
3,Jean-Louis Akpa Akpro,ci CIV,FW,Bury,28,1985,10,5,419,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,de365d76
4,James Alabi,eng ENG,FW,Mansfield Town,18,1994,1,1,32,0.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,1c7b983d
5,James Alabi,eng ENG,FW,Scunthorpe,18,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1c7b983d
6,Tom Aldred,sct SCO,DF,Accrington,22,1990,46,46,4140,46.0,2,1,3,2,0,0,6,0,0.04,0.02,0.07,0.04,0.07,2a75e914
7,Lewis Alessandra,eng ENG,FWMF,Plymouth Argyle,24,1989,42,39,3444,38.3,7,4,11,7,0,0,1,0,0.18,0.10,0.29,0.18,0.29,c9b22fff
8,Gary Alexander,eng ENG,FW,Burton Albion,33,1979,11,7,597,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,de915071
9,Daniel Alfei,wls WAL,DF,Portsmouth,21,1992,15,15,1350,15.0,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,62fab1e5
10,Tom Allan,eng ENG,DF,York City,18,1994,5,4,368,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3cc20c9f
11,Jamie Allen,ms MSR,FWMF,Fleetwood Town,18,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5b2ad206
12,Jamie Allen,eng ENG,MF,Rochdale,18,1995,25,22,1897,21.1,6,1,7,6,0,0,1,0,0.28,0.05,0.33,0.28,0.33,2c183a79
13,Kevin Amankwaah,eng ENG,DF,Northampton,31,1982,21,21,1797,20.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,374416f1
14,Pádraig Amond,ie IRL,FWMF,Morecambe,25,1988,45,33,2758,30.6,11,2,13,9,2,3,0,0,0.36,0.07,0.42,0.29,0.36,75499f71
15,Calvin Andrew,eng ENG,FW,York City,26,1986,8,5,512,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,4b2711f5
16,Calvin Andrew,eng ENG,FW,Mansfield Town,26,1986,15,11,867,9.6,1,2,3,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,4b2711f5
17,Byron Anthony,wls WAL,DF,Newport County,28,1984,7,7,570,6.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3d7311dd
18,Will Antwi,gh GHA,DF,AFC Wimbledon,30,1982,18,14,1277,14.2,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,2cf8fa87
19,Kwesi Appiah,gh GHA,FW,AFC Wimbledon,22,1990,7,6,584,6.5,3,1,4,3,0,0,2,0,0.46,0.15,0.62,0.46,0.62,8fb893a5
20,Andreas Arestidou,eng ENG,GK,Morecambe,23,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fc8240f7
21,Nick Arnold,eng ENG,DF,Wycombe,20,1993,31,30,2525,28.1,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,bf6a1d15
22,Chris Arthur,eng ENG,DFMF,AFC Wimbledon,23,1990,26,2,876,9.7,1,1,2,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,0ca137fd
23,Rob Atkinson,eng ENG,DF,Accrington,26,1987,15,11,941,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,b2ac6d2d
24,Will Atkinson,eng ENG,MF,Southend United,24,1988,45,43,3774,41.9,2,1,3,2,0,0,3,0,0.05,0.02,0.07,0.05,0.07,a16b77f1
25,Ryan Auger,eng ENG,DFFW,Southend United,19,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cfad9fa9
26,Neil Austin,eng ENG,DF,Hartlepool,30,1983,29,29,2577,28.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,20e33296
27,Ade Azeez,eng ENG,FW,Torquay United,19,1994,8,6,562,6.2,2,0,2,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,c7b4fa70
28,Ade Azeez,eng ENG,FW,Dag & Red,19,1994,15,10,981,10.9,3,2,5,3,0,0,3,0,0.28,0.18,0.46,0.28,0.46,c7b4fa70
29,Jack Baldwin,eng ENG,DFMF,Hartlepool,20,1993,28,28,2507,27.9,2,0,2,2,0,0,8,0,0.07,0.00,0.07,0.07,0.07,8ae7c4f9
30,Pat Baldwin,eng ENG,DF,Exeter City,30,1982,25,24,2109,23.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,09823596
31,Callum Ball,eng ENG,FW,Torquay United,20,1992,9,9,795,8.8,2,1,3,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,8ecb0ec5
32,David Ball,eng ENG,FWMF,Fleetwood Town,23,1989,30,24,2115,23.5,8,1,9,8,0,0,1,0,0.34,0.04,0.38,0.34,0.38,c538e9e7
33,Ollie Banks,eng ENG,DFFW,Chesterfield,20,1992,25,23,1712,19.0,7,0,7,7,0,0,4,0,0.37,0.00,0.37,0.37,0.37,d4ec6c9a
34,Jason Banton,eng ENG,MF,Plymouth Argyle,20,1992,13,11,738,8.2,1,3,4,1,0,0,0,0,0.12,0.37,0.49,0.12,0.49,fa6ba5e8
35,Andy Barcham,eng ENG,FWMF,Portsmouth,26,1986,26,18,1636,18.2,3,1,4,3,0,0,1,0,0.17,0.06,0.22,0.17,0.22,75d942ab
36,George Barker,eng ENG,FW,Newport County,21,1991,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2972401e
