,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Stanley Aborah,be BEL,MF,Notts County,28,1987,26,25,2187,24.3,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,Matches,dc3c0627
2,Blair Adams,eng ENG,DF,Mansfield Town,23,1991,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,739a0921
3,Blair Adams,eng ENG,DF,Notts County,23,1991,15,15,1232,13.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,739a0921
4,Charlie Adams,eng ENG,MF,Stevenage,21,1994,2,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6d6e9d0
5,Nicky Adams,wls WAL,MF,Northampton,28,1986,39,34,2702,30.0,2,12,14,2,0,0,4,0,0.07,0.40,0.47,0.07,0.47,Matches,a1a33d78
6,Victor Adeboyejo,eng ENG,FW,Leyton Orient,17,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3c24495
7,Semi Ajayi,ng NGA,DFMF,AFC Wimbledon,21,1993,5,5,385,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d6192210
8,John Akinde,eng ENG,FW,Barnet,26,1989,43,41,3644,40.5,23,8,31,15,8,10,7,0,0.57,0.20,0.77,0.37,0.57,Matches,93a09a47
9,Adebayo Akinfenwa,eng ENG,FW,AFC Wimbledon,33,1982,38,20,1945,21.6,6,0,6,6,0,0,1,1,0.28,0.00,0.28,0.28,0.28,Matches,dcb17ca5
10,Dipo Akinyemi,eng ENG,FW,Stevenage,18,1997,15,6,614,6.8,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,fd0970a5
