,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
1,Torbjørn Agdestein,no NOR,FW,Bath City,19,1991,3,3,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c880689a
2,Phil Airey,eng ENG,FW,Gateshead,19,1991,2,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,e02e762a
3,Toby Ajala,eng ENG,FWMF,Hayes & Yeading,19,1991,9,3,435,4.8,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,6186eead
4,Zac Aley,eng ENG,FWMF,Southport,19,1991,3,2,205,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,4c03e4f5
5,Daniel Alfei,wls WAL,DF,Wrexham,19,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,62fab1e5
6,Chris Allen,,MF,Forest Green,22,1989,16,10,800,8.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,9181d6c3
7,Louis Almond,eng ENG,FW,Barrow,19,1992,23,10,874,9.7,1,3,4,1,0,0,0,0,0.10,0.31,0.41,0.10,0.41,db14c0bc
8,Louis Almond,eng ENG,FW,Lincoln City,19,1992,5,3,278,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,db14c0bc
9,Jak Alnwick,eng ENG,GK,Gateshead,18,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,b0835fc0
10,Danny Andrew,eng ENG,DFMF,Mansfield Town,20,1990,5,1,161,1.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,90b57521
11,Will Antwi,gh GHA,DF,Luton Town,28,1982,12,12,1080,12.0,2,0,2,2,0,0,0,0,0.17,0.00,0.17,0.17,0.17,2cf8fa87
12,Will Antwi,gh GHA,DF,Grimsby Town,28,1982,4,4,342,3.8,1,0,1,1,0,0,2,0,0.26,0.00,0.26,0.26,0.26,2cf8fa87
13,Joe Anyon,eng ENG,GK,Lincoln City,24,1986,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1794a512
14,Paul Arnison,eng ENG,DFMF,Darlington,33,1977,34,31,2724,30.3,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,a244b7e5
15,Nathan Arnold,eng ENG,FWMF,Alfreton Town,24,1987,28,27,2173,24.1,6,5,11,6,0,0,1,0,0.25,0.21,0.46,0.25,0.46,4966b48d
16,Steve Arnold,eng ENG,GK,Hayes & Yeading,21,1989,31,31,2692,29.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,8c0d375b
17,Frankie Artus,eng ENG,MF,Grimsby Town,22,1988,29,23,2085,23.2,1,6,7,1,0,0,4,0,0.04,0.26,0.30,0.04,0.30,65b953de
18,Ed Asafu-Adjaye,eng ENG,DF,Luton Town,22,1988,9,7,636,7.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0f7e82f9
19,Moses Ashikodi,ag ATG,FW,York City,24,1987,8,2,253,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,6e3ba254
20,Moses Ashikodi,ag ATG,FW,Kettering Town,24,1987,17,16,1352,15.0,6,2,8,5,1,2,1,1,0.40,0.13,0.53,0.33,0.47,6e3ba254
21,Neil Ashton,eng ENG,DFMF,Wrexham,26,1985,43,43,3864,42.9,1,4,5,0,1,1,8,0,0.02,0.09,0.12,0.00,0.09,602ab267
