,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Mathew Achuba,eng ENG,DF,Ebbsfleet United,,,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c856c90c
2,Charlee Adams,eng ENG,MFDF,Barnet,23,1995,26,26,2325,25.8,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,7d80136e
3,Ebou Adams,gm GAM,DFMF,Ebbsfleet United,22,1996,37,29,2415,26.8,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,84d7ae33
4,Tobi Adebayo-Rowling,eng ENG,DFMF,Bromley,21,1996,10,8,640,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a60a16ce
5,Manny Adebowale,eng ENG,MFDF,Dover Athletic,20,1997,2,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6b540029
6,Tomi Adeloye,eng ENG,FWMF,Dag & Red,22,1996,27,15,1295,14.4,3,0,3,3,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,eb8afd9e
7,Liam Agnew,eng ENG,MFDF,Harrogate Town,23,1995,15,7,703,7.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0b93efcd
8,Kemy Agustien,cw CUW,MFFW,Barrow,31,1986,10,10,739,8.2,2,0,2,2,0,0,1,1,0.24,0.00,0.24,0.24,0.24,Matches,027a5151
9,Kemy Agustien,cw CUW,MFFW,Wrexham,31,1986,3,3,204,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,027a5151
10,Simeon Akinola,eng ENG,FW,Barnet,25,1992,14,1,415,4.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e48edc45
11,James Akintunde,eng ENG,FWMF,Maidenhead,22,1996,30,15,1326,14.7,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,2e13c8c4
12,James Alabi,eng ENG,FW,Leyton Orient,23,1994,26,6,789,8.8,2,0,2,2,0,0,0,1,0.23,0.00,0.23,0.23,0.23,Matches,1c7b983d
13,Cheye Alexander,lc LCA,DF,Barnet,23,1995,43,42,3688,41.0,1,0,1,1,0,0,2,0,0.02,0.00,0.02,0.02,0.02,Matches,9f0cfe44
14,Reise Allassani,eng ENG,FW,Ebbsfleet United,22,1996,4,2,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5913dbc1
15,Iffy Allen,eng ENG,FWMF,Braintree Town,24,1994,15,10,889,9.9,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,e27443d5
16,Jamie Allen,ms MSR,FWMF,Dover Athletic,23,1995,41,36,3029,33.7,6,0,6,5,1,1,4,0,0.18,0.00,0.18,0.15,0.15,Matches,5b2ad206
17,Luke Allen,eng ENG,MFDF,Braintree Town,25,1993,27,21,1845,20.5,1,0,1,0,1,1,2,0,0.05,0.00,0.05,0.00,0.00,Matches,f6f704e8
18,Herson Alves,pt POR,MFDF,Maidenhead,21,1997,13,4,459,5.1,2,0,2,2,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,d4500699
19,Justin Amaluzor,eng ENG,FWMF,Maidstone Utd,21,1996,13,10,936,10.4,3,0,3,3,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,b3f78f19
20,Justin Amaluzor,eng ENG,FWMF,Braintree Town,21,1996,21,19,1594,17.7,3,0,3,3,0,0,6,0,0.17,0.00,0.17,0.17,0.17,Matches,b3f78f19
21,Levi Amantchi,eng ENG,MFFW,Chesterfield,17,2000,11,4,545,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,71629af8
22,Danny Amos,nir NIR,MFDF,Hartlepool,18,1999,7,6,442,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18772a6d
23,Myles Anderson,eng ENG,MFDF,Hartlepool,28,1990,36,33,2982,33.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,47bd43ae
24,Dior Angus,eng ENG,FWMF,Barrow,24,1994,11,10,689,7.7,2,0,2,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,727e7bf1
25,Joe Anyon,eng ENG,GK,Chesterfield,31,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1794a512
26,Jordan Archer,eng ENG,FWMF,Maidenhead,24,1993,8,4,346,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,44040414
27,Luke Armstrong,eng ENG,FWMF,Gateshead,22,1996,17,16,1442,16.0,10,0,10,9,1,1,1,0,0.62,0.00,0.62,0.56,0.56,Matches,d6556450
28,Nick Arnold,eng ENG,DF,Aldershot Town,25,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf6a1d15
29,Bradley Ash,eng ENG,MFFW,Boreham Wood,22,1996,28,6,841,9.3,5,0,5,4,1,1,0,0,0.54,0.00,0.54,0.43,0.43,Matches,c5b52352
30,Nathan Ashmore,eng ENG,GK,Ebbsfleet United,28,1990,45,45,4050,45.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,fa1bb34f
31,Robert Atkinson,eng ENG,MFDF,Braintree Town,20,1998,15,15,1266,14.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,181df6a4
32,Jonah Ayunga,ke KEN,FWMF,Sutton United,21,1997,28,20,1822,20.2,4,0,4,4,0,0,4,0,0.20,0.00,0.20,0.20,0.20,Matches,2fb31f60
33,Jonah Ayunga,ke KEN,MFFW,Havant & W'ville,21,1997,4,4,340,3.8,2,0,2,2,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,2fb31f60
34,Nicky Bailey,eng ENG,MFDF,Sutton United,34,1984,23,18,1733,19.3,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,9f2550f3
