,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Josh Adam,sct SCO,MF,Manchester City,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ab21101
2,Tayo Adaramola,ie IRL,DF,Crystal Palace,17,2003,17,17,1480,16.4,1,1,2,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12,Matches,c150b220
3,Osazee Aghatise,eng ENG,MF,Derby County,18,2002,23,21,1792,19.9,5,0,5,5,0,0,5,0,0.25,0.00,0.25,0.25,0.25,Matches,fff20409
4,Tim Akinola,eng ENG,MFDF,Arsenal,20,2001,12,10,854,9.5,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,e8cd04a6
5,Victor Akinwale,eng ENG,FW,Crystal Palace,16,2004,4,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e47e2386
6,Ryan Alebiosu,ng NGA,MFDF,Arsenal,19,2001,10,9,743,8.3,1,5,6,1,0,0,2,0,0.12,0.61,0.73,0.12,0.73,Matches,ce048fb8
7,Ajibola Alese,eng ENG,DF,West Ham,20,2001,23,23,2041,22.7,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,Matches,182a8b9d
8,Kyle Alex John,eng ENG,DFMF,Everton,20,2001,18,18,1620,18.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,c9093a1a
9,Charlie Allen,nir NIR,MF,Leeds United,17,2003,11,6,630,7.0,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,30841b9b
10,Ryan Allsop,eng ENG,GK,Derby County,29,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af615123
11,Will Alves,eng ENG,MFFW,Leicester City,16,2005,17,12,948,10.5,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,39ef5a7b
12,Joe Anderson,eng ENG,DF,Everton,20,2001,17,15,1377,15.3,1,1,2,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,Matches,19a890ba
13,Louie Annesley,gi GIB,DFMF,Blackburn,21,2000,7,6,585,6.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,88ddc295
14,Keenan Appiah-Forson,eng ENG,MF,West Ham,19,2001,25,24,2086,23.2,1,2,3,1,0,0,1,0,0.04,0.09,0.13,0.04,0.13,Matches,270c700c
15,Harrison Ashby,sct SCO,DF,West Ham,19,2001,21,21,1805,20.1,2,6,8,2,0,0,8,1,0.10,0.30,0.40,0.10,0.40,Matches,b391383a
16,Ossama Ashley,eng ENG,MF,West Ham,20,2000,1,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6da942ce
17,Ryan Astley,wls WAL,DF,Everton,19,2001,23,23,2065,22.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0eb884e1
18,Zach Awe,eng ENG,DF,Arsenal,17,2004,6,5,478,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,7a0ae4f0
19,Luke Ayling,eng ENG,DF,Leeds United,29,1991,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,420d7c7d
20,Miguel Azeez,eng ENG,MFFW,Arsenal,18,2002,10,10,900,10.0,2,1,3,1,1,2,4,0,0.20,0.10,0.30,0.10,0.20,Matches,660e71be
21,Luke Badley-Morgan,jm JAM,DF,Chelsea,17,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd2b7b25
22,Stefan Bajcetic,es ESP,MF,Liverpool,16,2004,3,3,239,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32e8417f
23,Alex Baker,eng ENG,FW,Blackburn,18,2003,4,0,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b115732c
24,Lewis Baker,eng ENG,MF,Chelsea,26,1995,9,9,810,9.0,2,3,5,1,1,1,2,0,0.22,0.33,0.56,0.11,0.44,Matches,1b278bf5
25,James Balagizi,eng ENG,MFFW,Liverpool,17,2003,14,11,892,9.9,2,0,2,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,a5c8bb69
26,Thierno Ballo,at AUT,MF,Chelsea,19,2002,9,9,757,8.4,4,0,4,4,0,0,2,0,0.48,0.00,0.48,0.48,0.48,Matches,d32daf5d
27,Folarin Balogun,us USA,FWMF,Arsenal,20,2001,11,11,938,10.4,14,2,16,12,2,4,0,0,1.34,0.19,1.54,1.15,1.34,Matches,31822f8c
28,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93feac6e
29,Mauro Bandeira,pt POR,MF,Arsenal,17,2003,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b67eca8
30,Scott Banks,sct SCO,MF,Crystal Palace,19,2001,17,15,1160,12.9,10,3,13,8,2,2,3,1,0.78,0.23,1.01,0.62,0.85,Matches,d01f8942
31,Jamal Baptiste,eng ENG,DFMF,West Ham,17,2003,17,15,1315,14.6,3,0,3,3,0,0,3,2,0.21,0.00,0.21,0.21,0.21,Matches,41d3704d
32,Max Bardell,eng ENG,DF,Derby County,18,2002,17,17,1490,16.6,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches,c683914c
33,Sam Barnes,eng ENG,DF,Blackburn,20,2001,7,7,511,5.7,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,2d3cdd17
34,Jack Barrett,eng ENG,GK,Everton,19,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6217792f
35,Luca Barrington,eng ENG,FW,Manchester City,16,2004,2,2,180,2.0,1,0,1,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,85d7679f
36,Lewis Bate,eng ENG,MF,Leeds United,18,2002,21,21,1736,19.3,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,cd4256d3
37,Jack Bates,eng ENG,MF,Derby County,17,2003,3,1,94,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,06167292
38,Jake Batty,eng ENG,DF,Blackburn,16,2005,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,79f29835
39,James Beadle,eng ENG,GK,Brighton,17,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9019e4d8
40,Jack Bearne,eng ENG,FWMF,Liverpool,19,2001,25,19,1717,19.1,7,4,11,7,0,0,2,0,0.37,0.21,0.58,0.37,0.58,Matches,3735641b
41,Owen Beck,wls WAL,DF,Liverpool,18,2002,20,20,1738,19.3,1,2,3,1,0,0,7,1,0.05,0.10,0.16,0.05,0.16,Matches,a011a1e9
42,Filip Benković,hr CRO,DF,Leicester City,24,1997,2,2,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,305a3820
43,Rhys Bennett,eng ENG,DF,Manchester Utd,17,2003,4,3,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4588897
44,Lucas Bergström,fi FIN,GK,Chelsea,18,2002,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b59c2a92
45,Krystian Bielik,pl POL,MF,Derby County,23,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e0ec853
46,Mika Biereth,dk DEN,FW,Arsenal,18,2003,21,20,1772,19.7,10,4,14,9,1,1,1,0,0.51,0.20,0.71,0.46,0.66,Matches,a1d95db3
47,Bryant Bilongo,eng ENG,DF,Chelsea,19,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,647ebdec
48,Benicio Boaitey,eng ENG,MF,Brighton,17,2004,4,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c5835e6
49,David Boateng,eng ENG,DF,Crystal Palace,20,2001,16,11,936,10.4,0,3,3,0,0,0,2,1,0.00,0.29,0.29,0.00,0.29,Matches,af161464
50,Malachi Boateng,eng ENG,MFDF,Crystal Palace,19,2002,20,20,1677,18.6,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,3096b0b0
51,Oscar Bobb,no NOR,MFFW,Manchester City,18,2003,26,23,2113,23.5,7,9,16,6,1,1,1,0,0.30,0.38,0.68,0.26,0.64,Matches,eed2427e
52,Luke Bolton,eng ENG,MFFW,Manchester City,21,1999,6,6,400,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,dadb55bd
53,Zach Booth,us USA,MF,Leicester City,17,2004,2,0,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e47a132
54,Marko Borkovic,eng ENG,DF,Derby County,17,2004,4,0,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ac436d6
55,Jamie Bowden,ie IRL,MF,Tottenham,20,2001,7,6,532,5.9,1,2,3,1,0,0,2,0,0.17,0.34,0.51,0.17,0.51,Matches,9a5675c9
56,Morgan Boyes,wls WAL,DFMF,Liverpool,20,2001,9,7,711,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1cda07f1
57,Conor Bradley,nir NIR,DF,Liverpool,18,2003,21,20,1765,19.6,3,8,11,3,0,0,6,0,0.15,0.41,0.56,0.15,0.56,Matches,bbd67769
58,Rhys Brailsford,eng ENG,MFDF,Derby County,17,2003,4,2,221,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,96cb568c
59,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4,4,286,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c1949191
60,Sammy Braybrooke,eng ENG,MF,Leicester City,17,2004,23,21,1817,20.2,1,3,4,1,0,0,3,0,0.05,0.15,0.20,0.05,0.20,Matches,9f684e25
61,Kian Breckin,eng ENG,MF,Manchester City,17,2003,3,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ce3ed70d
62,Luke Brennan,eng ENG,MFFW,Blackburn,19,2001,24,12,1177,13.1,3,4,7,3,0,0,3,0,0.23,0.31,0.54,0.23,0.54,Matches,81ef454b
63,Joshua Brooking,eng ENG,DFMF,Chelsea,18,2002,19,17,1531,17.0,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,330f638c
64,James Brown,ie IRL,DFMF,Blackburn,23,1998,6,6,476,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,e53336c4
65,Jordan Brown,eng ENG,DFMF,Derby County,20,2001,6,5,473,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5f4fdd2
