betpawa_id,betpawa_name,canonical_name
655236,Nottingham Forest,Nott'm Forest
655237,Southampton FC,Southampton
655582,Aston Villa,Aston Villa
655583,Wolverhampton Wanderers,Wolves
655586,Manchester City,Man City
655587,Chelsea FC,Chelsea
655589,Crystal Palace,Crystal Palace
655590,Tottenham Hotspur,Tottenham
655638,West Ham United,West Ham
655639,Leeds United,Leeds
656120,Brighton & Hove Albion,Brighton
656121,Liverpool FC,Liverpool
656154,Stoke City,Stoke
656155,Sheffield United,Sheffield United
656501,Accrington Stanley,Accrington
656631,Leicester City,Leicester
656688,Hull City,Hull
656689,Huddersfield Town,Huddersfield
656697,AFC Bournemouth,Bournemouth
656698,Brentford FC,Brentford
656699,Fulham FC,Fulham
656700,Newcastle United,Newcastle
656701,Arsenal FC,Arsenal
656832,Everton FC,Everton
656833,Manchester United,Man United
657054,Leyton Orient London,Leyton Orient
657055,Doncaster Rovers,Doncaster
657057,Mansfield Town,Mansfield
657058,Newport County,Newport County
657059,Rochdale AFC,Rochdale
657061,Tranmere Rovers FC,Tranmere
657350,Coventry City,Coventry
657351,West Bromwich Albion,West Brom
657431,Millwall FC,Millwall
657443,Burnley FC,Burnley
657609,Barnet FC,Barnet
657670,Norwich City,Norwich
657671,Preston North End,Preston
657906,Swansea City,Swansea
657907,Sunderland AFC,Sunderland
657988,Rotherham United,Rotherham
657989,Blackburn Rovers,Blackburn
658560,Watford FC,Watford
658561,Blackpool FC,Blackpool
658768,Bolton Wanderers,Bolton
658769,Plymouth Argyle,Plymouth
658770,Cambridge United,Cambridge
658771,Bristol Rovers,Bristol Rvs
658772,Cheltenham Town,Cheltenham
658774,Northampton Town,Northampton
658775,Salford City,Salford
658776,Colchester United,Colchester
659203,Wigan Athletic,Wigan
659313,Luton Town,Luton
659346,Charlton Athletic,Charlton
659383,Reading FC,Reading
659384,Queens Park Rangers,QPR
659471,Bromley FC,Bromley
659506,Port Vale,Port Vale
659546,Wrexham AFC,Wrexham
659973,Birmingham City,Birmingham
659974,Bristol City,Bristol City
659975,Cardiff City,Cardiff
659976,Middlesbrough FC,Middlesbrough
660136,Oldham Athletic,Oldham
660149,Chesterfield FC,Chesterfield
660910,Notts County,Notts County
661355,Sheffield Wednesday,Sheffield Weds
661356,Fleetwood Town,Fleetwood Town
661357,Portsmouth FC,Portsmouth
661358,Milton Keynes Dons,Milton Keynes Dons
661359,Shrewsbury Town,Shrewsbury
661360,Oxford United,Oxford
661361,Wycombe Wanderers,Wycombe
661362,Barnsley FC,Barnsley
661363,Burton Albion,Burton
661364,Ipswich Town,Ipswich
661365,Peterborough United,Peterboro
661366,Exeter City,Exeter
661369,Stockport County FC,Stockport
661370,AFC Wimbledon,AFC Wimbledon
661371,Bradford City FC,Bradford
661372,Crawley Town,Crawley Town
661373,Crewe Alexandra,Crewe
661374,Stevenage FC,Stevenage
661375,Walsall FC,Walsall
661376,Derby County,Derby
661377,Lincoln City,Lincoln
661378,Grimsby Town,Grimsby
661379,Swindon Town,Swindon
661380,Gillingham FC,Gillingham
662146,York City FC,York
