canonical_name,divisions,venue,lat,lon,town,source,wikidata_qid,wikidata_club,check_status,check_delta_km,check_display_name
AFC Wimbledon,"EC,E3,E2",Plough Lane,51.431363888,-0.186669444,London Borough of Merton,wikidata,Q48851,AFC Wimbledon,agree,0.345,"[highway/secondary] Plough Lane, Collier's Wood, London Borough of Merton, Greater London, England, SW19 8DN, United Kingdom"
Accrington,"E3,E2",Crown Ground,53.765356,-2.370911,Hyndburn,wikidata,Q48843,Accrington Stanley F.C.,agree,0.006,"[leisure/stadium] Crown Ground, Livingstone Road, Milnshaw, Accrington, Hyndburn, Lancashire, Lancashire, England, BB5 5BX, United Kingdom"
Aldershot,"E3,EC",Recreation Ground,51.248386,-0.754789,Aldershot,wikidata,Q48862,Aldershot Town F.C.,agree,0.012,"[leisure/stadium] The Recreation Ground, Redan Road, East End, North Town, Aldershot, Rushmoor, Hampshire, England, GU12 4NH, United Kingdom"
Alfreton Town,EC,North Street,53.0945,-1.3813,Alfreton,wikidata,Q18506,Alfreton Town F.C.,agree,0.138,"[highway/residential] North Street, Alfreton CP, Amber Valley, Derbyshire, East Midlands, England, DE55 7GB, United Kingdom"
Altrincham,EC,Moss Lane,53.383436,-2.335158,Altrincham,wikidata,Q18660,Altrincham F.C.,agree,0.007,"[leisure/stadium] Moss Lane, Moss Lane, Hale, Altrincham, Trafford, Greater Manchester, England, WA15 8AP, United Kingdom"
Arsenal,E0,Emirates Stadium,51.555,-0.108333333,London Borough of Islington,wikidata,Q9617,Arsenal F.C.,agree,0.006,"[leisure/stadium] Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, Greater London, England, N5 1BU, United Kingdom"
Aston Villa,"E0,E1",Villa Park,52.509166666,-1.884722222,Birmingham,wikidata,Q18711,Aston Villa F.C.,agree,0.022,"[leisure/stadium] Villa Park, Trinity Road, Aston, Birmingham, West Midlands, England, B6 6HE, United Kingdom"
Barnet,"E3,EC",The Hive Stadium,51.6026,-0.291785,Canons Park,wikidata,Q9408,Barnet F.C.,agree,0.770,"[untyped] Canons Park Close, Stone Grove, Harrow, London, Lambeth, England, HA8 6RL, United Kingdom"
Barnsley,"E1,E2",Oakwell,53.552222,-1.4675,Barnsley,wikidata,Q19442,Barnsley F.C.,agree,0.018,"[leisure/stadium] Oakwell Stadium, Grove Street, Oakwell, Kendray, Barnsley, South Yorkshire, England, S71 1EJ, United Kingdom"
Barrow,"EC,E3",Holker Street,54.123333333,-3.235,Barrow-in-Furness,wikidata,Q18507,Barrow A.F.C.,agree,0.015,"[leisure/stadium] Furness Building Society Stadium, Wilkie Road, Ormsgill, Barrow-in-Furness, Westmorland and Furness, England, LA14 5UW, United Kingdom"
Bath City,EC,Twerton Park,51.3787,-2.3951,Twerton,wikidata,Q368500,Bath City F.C.,agree,0.029,"[leisure/stadium] Twerton Park, High Street, Twerton, Bath, Bath and North East Somerset, West of England, England, BA2 1DB, United Kingdom"
Birmingham,"E0,E1,E2",St Andrew's,52.475702777,-1.868188888,Birmingham,wikidata,Q19444,Birmingham City F.C.,agree,0.018,"[leisure/stadium] St. Andrew's, Cattell Road, Digbeth, Sparkbrook, Birmingham, West Midlands, England, B9 4NH, United Kingdom"
Blackburn,"E0,E1,E2",Ewood Park,53.728611111,-2.489166666,Blackburn,wikidata,Q19446,Blackburn Rovers F.C.,agree,0.010,"[leisure/stadium] Ewood Park, Nuttall Street, Ewood, Blackburn, Blackburn with Darwen, Lancashire, England, BB2 4JF, United Kingdom"
Blackpool,"E0,E1,E2,E3",Bloomfield Road,53.804722,-3.048056,Blackpool,wikidata,Q19449,Blackpool F.C.,agree,0.788,"[highway/tertiary] Bloomfield Road, Marton, Blackpool, Borough of Blackpool, Lancashire, England, FY1 6SB, United Kingdom"
Bolton,"E0,E1,E2,E3",Toughsheet Community Stadium,53.580555555,-2.535555555,Horwich,wikidata,Q19451,Bolton Wanderers F.C.,agree,0.007,"[leisure/stadium] Toughsheet Community Stadium, Burnden Way, Middlebrook, Horwich, Greater Manchester, England, BL6 6LB, United Kingdom"
Boreham Wood,EC,Meadow Park,51.661944,-0.272222,Borehamwood,wikidata,Q4094837,Boreham Wood F.C.,agree,0.018,"[leisure/stadium] Meadow Park, Broughinge Road, Elstree and Borehamwood, Borehamwood, Hertsmere, Hertfordshire, England, WD6 5AL, United Kingdom"
Boston Utd,EC,York Street,52.976786,-0.019117,,wikidata,Q894605,Boston United F.C.,agree_reverse,,"York Street Stadium, York Street, Bargate, Trinity, Boston, Lincolnshire, Greater Lincolnshire, England, PE21 6JN, United Kingdom"
Bournemouth,"E2,E1,E0",Dean Court,50.735278,-1.838333,Bournemouth,wikidata,Q19568,AFC Bournemouth,agree,0.011,"[leisure/stadium] Vitality Stadium, Middleton Gardens, Littledown, Bournemouth, Bournemouth, Christchurch and Poole, England, BH7 7AF, United Kingdom"
Brackley Town,EC,"St James Park, Brackley",52.0244301,-1.1441646,Brackley,locationiq,,,agree_reverse,,"Brackley Town F.C., Churchill Way, Brackley, West Northamptonshire, England, NN13 7XY, United Kingdom"
Bradford,"E3,E2",Valley Parade,53.804222222,-1.759022222,,wikidata,Q48879,Bradford City A.F.C.,agree,0.026,"[leisure/stadium] Valley Parade, Valley Parade, Manningham, Bradford, West Yorkshire, England, BD8 7DZ, United Kingdom"
Braintree Town,EC,Cressing Road,51.875322,0.572956,Braintree,wikidata,Q18508,Braintree Town F.C.,agree_reverse,,"Iron View, The Fairveiw, Braintree, Essex, Essex, England, CM7 3DR, United Kingdom"
Brentford,"E2,E1,E0",Griffin Park,51.488167,-0.302639,Brentford,wikidata,Q19571,Brentford F.C.,agree,0.005,"[landuse/construction] Griffin Park, Brentford, Greater London, England, TW8 0NT, United Kingdom"
Brighton,"E2,E1,E0",Brighton Community Stadium,50.861822222,-0.083277777,Moulsecoomb and Bevendean,wikidata,Q19453,Brighton & Hove Albion F.C.,agree_manual,1.630,"Reverse geocode returns 'American Express Stadium, Village Way, Falmer' - the same ground under its sponsor name, against Wikidata's label 'Brighton Community Stadium'. Confirmed correct."
Bristol City,"E1,E2",Ashton Gate Stadium,51.44,-2.620278,City of Bristol,wikidata,Q19456,Bristol City F.C.,agree,0.015,"[leisure/stadium] Ashton Gate Stadium, Ashton Road, Ashton Gate, Bristol, City of Bristol, West of England, England, BS3 2EJ, United Kingdom"
Bristol Rvs,"E2,E3,EC",Memorial Stadium,51.4862,-2.58313,Horfield,wikidata,Q48925,Bristol Rovers F.C.,agree,0.008,"[leisure/stadium] Memorial Stadium, Filton Avenue, Horfield, Bristol, City of Bristol, West of England, England, BS7 0BF, United Kingdom"
