canonical_name,logo_slug,status
AFC Wimbledon,afc-wimbledon,ok
Accrington,accrington,ok
Aldershot,aldershot-town,ok
Alfreton Town,alfreton-town,ok
Altrincham,altrincham,ok
Arsenal,arsenal,ok
Aston Villa,aston-villa,ok
Barnet,barnet,ok
Barnsley,barnsley,ok
Barrow,barrow,ok
Bath City,bath-city,ok
Birmingham,birmingham,ok
Blackburn,blackburn-rovers,ok
Blackpool,blackpool,ok
Bolton,bolton,ok
Boreham Wood,boreham-wood,ok
Boston Utd,boston-united,ok
Bournemouth,bournemouth,ok
Brackley Town,brackley-town,ok
Bradford,bradford,ok
Braintree Town,braintree-town,ok
Brentford,brentford,ok
Brighton,brighton,ok
Bristol City,bristol-city,ok
Bristol Rvs,bristol-rovers,ok
Bromley,bromley,ok
Burnley,burnley,ok
Burton,burton,ok
Bury,bury,ok
Cambridge,cambridge-united,ok
Cardiff,cardiff-city,ok
Carlisle,carlisle,ok
Charlton,charlton,ok
Chelsea,chelsea,ok
Cheltenham,cheltenham,ok
Chester,chester-fc,ok
Chesterfield,chesterfield,ok
Chorley,chorley,ok
Colchester,colchester,ok
Coventry,coventry-city,ok
Crawley Town,crawley-town,ok
Crewe,crewe,ok
Crystal Palace,crystal-palace,ok
Dag and Red,dagenham-and-redbridge,ok
Darlington,darlington,ok
Dartford,dartford,ok
Derby,derby-county,ok
Doncaster,doncaster-rovers,ok
Dorking,dorking-wanderers,ok
Dover Athletic,dover-athletic,ok
Eastbourne Borough,eastbourne-borough,ok
Eastleigh,eastleigh,ok
Ebbsfleet,ebbsfleet-united,ok
Everton,everton,ok
Exeter,exeter,ok
Fleetwood Town,fleetwood-town,ok
Forest Green,forest-green-rovers,ok
Fulham,fulham,ok
Fylde,afc-fylde,ok
Gateshead,gateshead,ok
Gillingham,gillingham,ok
Grimsby,grimsby,ok
Guiseley,guiseley-afc,ok
Halifax,halifax-town,ok
Harrogate,harrogate-town,ok
Hartlepool,hartlepool,ok
Havant & Waterlooville,havant-and-waterlooville,ok
Hayes & Yeading,hayes-and-yeading-united,ok
Hereford,hereford-fc,ok
Histon,,absent
Huddersfield,huddersfield,ok
Hull,hull-city,ok
Hyde United,hyde-united,ok
Ipswich,ipswich,ok
Kettering Town,kettering-town,ok
Kidderminster,kidderminster-harriers,ok
King’s Lynn,kings-lynn-town,ok
Leeds,leeds-united,ok
Leicester,leicester,ok
Leyton Orient,leyton-orient,ok
Lincoln,lincoln-city,ok
Liverpool,liverpool,ok
Luton,luton-town,ok
Macclesfield,macclesfield,ok
Maidenhead,maidenhead,ok
Maidstone,maidstone,ok
Man City,manchester-city,ok
Man United,manchester-united,ok
Mansfield,mansfield,ok
Middlesbrough,middlesbrough,ok
Millwall,millwall,ok
Milton Keynes Dons,mk-dons,ok
Morecambe,morecambe,ok
Newcastle,newcastle,ok
Newport County,newport,ok
North Ferriby,,absent
Northampton,northampton,ok
Norwich,norwich-city,ok
Nott'm Forest,nottingham-forest,ok
Notts County,notts-county,ok
Nuneaton Town,,absent
Oldham,oldham,ok
Oxford,oxford-united,ok
Oxford City,oxford-city,ok
Peterboro,peterborough,ok
Plymouth,plymouth-argyle,ok
Port Vale,port-vale,ok
Portsmouth,portsmouth,ok
Preston,preston-north-end,ok
QPR,queens-park-rangers,ok
Reading,reading,ok
Rochdale,rochdale,ok
Rotherham,rotherham,ok
Rushden & D,,absent
Salford,salford-city,ok
Salisbury,salisbury,ok
Scunthorpe,scunthorpe,ok
Sheffield United,sheffield-united,ok
Sheffield Weds,sheffield-wednesday,ok
Shrewsbury,shrewsbury,ok
Solihull,solihull-moors,ok
Southampton,southampton,ok
Southend,southend,ok
Southport,southport,ok
Stevenage,stevenage,ok
Stockport,stockport-county,ok
Stoke,stoke-city,ok
Sunderland,sunderland,ok
Sutton,sutton-united,ok
Swansea,swansea-city,ok
Swindon,swindon-town,ok
Tamworth,tamworth,ok
Telford United,afc-telford-united,ok
Torquay,torquay-united,ok
Tottenham,tottenham,ok
Tranmere,tranmere,ok
Truro,truro-city,ok
Walsall,walsall,ok
Watford,watford,ok
Wealdstone,wealdstone,ok
Welling United,welling-united,ok
West Brom,west-bromwich-albion,ok
West Ham,west-ham,ok
Weymouth,,absent
Wigan,wigan,ok
Woking,woking,ok
Wolves,wolves,ok
Wrexham,wrexham,ok
Wycombe,wycombe,ok
Yeovil,yeovil,ok
York,york,ok
