canonical_name,venue,status,note
AFC Wimbledon,Plough Lane,ok,
Accrington,Wham Stadium,check,sponsor name for the Crown Ground since 2014; confirm it is still current
Arsenal,Emirates Stadium,ok,
Aston Villa,Villa Park,ok,
Barnet,The Hive,ok,
Barnsley,Oakwell,ok,
Birmingham,St Andrew's,ok,
Blackburn,Ewood Park,ok,
Blackpool,Bloomfield Road,ok,
Bolton,Toughsheet Community Stadium,check,sponsor name since 2023
Bournemouth,Vitality Stadium,ok,Dean Court in Wikidata
Bradford,Valley Parade,ok,
Brentford,Gtech Community Stadium,ok,Wikidata still says Griffin Park; the club left it in 2020
Brighton,American Express Stadium,ok,Brighton Community Stadium in Wikidata
Bristol City,Ashton Gate,ok,
Bristol Rvs,Memorial Stadium,ok,
Bromley,Hayes Lane,ok,
Burnley,Turf Moor,ok,
Burton,Pirelli Stadium,ok,
Cambridge,Abbey Stadium,ok,
Cardiff,Cardiff City Stadium,ok,
Charlton,The Valley,ok,
Chelsea,Stamford Bridge,ok,
Cheltenham,Whaddon Road,check,also sponsor-named; which name to use
Chesterfield,SMH Group Stadium,check,sponsor name; Proact Stadium in Wikidata
Colchester,JobServe Community Stadium,check,sponsor name
Coventry,Coventry Building Society Arena,ok,
Crawley Town,Broadfield Stadium,check,sponsor-named The People's Pension Stadium; which name to use
Crewe,Gresty Road,check,sponsor-named Mornflake Stadium; which name to use
Crystal Palace,Selhurst Park,ok,
Derby,Pride Park Stadium,ok,
Doncaster,Eco-Power Stadium,check,sponsor name since 2022; Keepmoat Stadium in Wikidata
Everton,Hill Dickinson Stadium,ok,
Exeter,St James Park,ok,
Fleetwood Town,Highbury Stadium,ok,
Fulham,Craven Cottage,ok,
Gillingham,Priestfield Stadium,ok,
Grimsby,Blundell Park,ok,
Huddersfield,Accu Stadium,check,sponsor name since 2024; Kirklees Stadium in Wikidata
Hull,MKM Stadium,ok,
Ipswich,Portman Road,ok,
Leeds,Elland Road,ok,
Leicester,King Power Stadium,ok,Leicester City Stadium in Wikidata
Leyton Orient,Brisbane Road,check,also sponsor-named; which name to use
Lincoln,LNER Stadium,check,sponsor name for Sincil Bank
Liverpool,Anfield,ok,
Luton,Kenilworth Road,ok,
Man City,Etihad Stadium,ok,
Man United,Old Trafford,ok,
Mansfield,Field Mill,check,sponsor-named One Call Stadium; which name to use
Middlesbrough,Riverside Stadium,ok,
Millwall,The Den,ok,
Milton Keynes Dons,Stadium MK,ok,
Newcastle,St James' Park,ok,
Newport County,Rodney Parade,ok,
Northampton,Sixfields Stadium,check,confirm current name
Norwich,Carrow Road,ok,
Nott'm Forest,City Ground,ok,
Notts County,Meadow Lane,ok,
Oldham,Boundary Park,ok,
Oxford,Kassam Stadium,check,confirm the club still plays there
Peterboro,London Road,check,sponsor-named Weston Homes Stadium; which name to use
Plymouth,Home Park,ok,
Port Vale,Vale Park,ok,
Portsmouth,Fratton Park,ok,
Preston,Deepdale,ok,
QPR,Loftus Road,check,sponsor-named since 2019; which name to use
Reading,Select Car Leasing Stadium,check,sponsor name since 2021; Madejski Stadium in Wikidata
Rochdale,Spotland,check,sponsor-named Crown Oil Arena; which name to use
Rotherham,New York Stadium,ok,
Salford,Moor Lane,check,sponsor-named Peninsula Stadium; which name to use
Sheffield United,Bramall Lane,ok,
Sheffield Weds,Hillsborough,ok,
Shrewsbury,New Meadow,check,sponsor-named Croud Meadow; which name to use
Southampton,St Mary's Stadium,ok,
Stevenage,Broadhall Way,check,sponsor-named Lamex Stadium; which name to use
Stockport,Edgeley Park,ok,
Stoke,bet365 Stadium,ok,Britannia Stadium in Wikidata; renamed 2016
Sunderland,Stadium of Light,ok,
Swansea,Swansea.com Stadium,check,sponsor name since 2021; Liberty Stadium in Wikidata
Swindon,County Ground,ok,
Tottenham,Tottenham Hotspur Stadium,ok,
Tranmere,Prenton Park,ok,
Walsall,Bescot Stadium,ok,
Watford,Vicarage Road,ok,
West Brom,The Hawthorns,ok,
West Ham,London Stadium,ok,
Wigan,Brick Community Stadium,ok,no English label in Wikidata; name confirmed by the geocoder in stadiums.csv
Wolves,Molineux,ok,
Wrexham,Racecourse Ground,ok,
Wycombe,Adams Park,ok,
York,LNER Community Stadium,check,sponsor name; confirm current
